iter	Passed	Remaining
0	160	160669
1	162	80993
2	163	54392
3	164	41055
4	166	33059
5	167	27691
6	171	24268
7	172	21359
8	173	19070
9	174	17246
10	175	15781
11	176	14528
12	177	13471
13	178	12557
14	179	11789
15	181	11132
16	182	10528
17	183	10012
18	185	9560
19	186	9124
20	187	8719
21	187	8352
22	188	8018
23	196	7983
24	197	7693
25	198	7424
26	198	7170
27	200	6957
28	201	6746
29	202	6554
30	203	6370
31	204	6196
32	205	6026
33	206	5867
34	207	5717
35	208	5578
36	209	5442
37	209	5314
38	210	5192
39	211	5075
40	212	4964
41	215	4923
42	217	4830
43	217	4735
44	218	4643
45	219	4556
46	220	4473
47	221	4390
48	222	4310
49	222	4233
50	223	4161
51	225	4102
52	226	4049
53	227	3991
54	228	3932
55	229	3872
56	230	3816
57	231	3760
58	232	3705
59	233	3652
60	234	3604
61	234	3555
62	236	3522
63	239	3499
64	240	3455
65	241	3412
66	242	3372
67	243	3331
68	243	3290
69	244	3250
70	245	3211
71	246	3174
72	247	3140
73	248	3109
74	249	3079
75	250	3049
76	251	3018
77	252	2986
78	253	2957
79	254	2926
80	255	2896
81	256	2868
82	256	2838
83	258	2813
84	261	2818
85	262	2792
86	263	2766
87	264	2740
88	265	2715
89	266	2691
90	266	2666
91	267	2642
92	268	2619
93	269	2596
94	270	2573
95	271	2554
96	272	2534
97	273	2518
98	274	2498
99	275	2479
100	276	2464
101	277	2446
102	278	2427
103	279	2408
104	280	2389
105	281	2371
106	282	2353
107	285	2360
108	287	2353
109	289	2339
110	290	2324
111	291	2307
112	291	2290
113	292	2273
114	293	2257
115	294	2241
116	295	2229
117	297	2223
118	298	2209
119	299	2195
120	300	2182
121	301	2168
122	302	2154
123	302	2140
124	303	2126
125	304	2113
126	305	2099
127	306	2086
128	309	2092
129	310	2080
130	311	2069
131	312	2058
132	314	2049
133	315	2038
134	316	2028
135	317	2016
136	318	2007
137	319	1998
138	321	1989
139	322	1979
140	323	1969
141	323	1956
142	324	1945
143	325	1934
144	326	1923
145	326	1912
146	327	1901
147	328	1891
148	329	1881
149	334	1895
150	335	1885
151	336	1875
152	337	1867
153	338	1857
154	338	1847
155	339	1838
156	340	1828
157	341	1819
158	342	1812
159	344	1807
160	345	1799
161	346	1792
162	347	1783
163	348	1775
164	349	1767
165	350	1759
166	351	1751
167	351	1742
168	352	1734
169	353	1726
170	358	1738
171	359	1731
172	360	1724
173	361	1717
174	362	1709
175	363	1701
176	364	1693
177	364	1685
178	365	1677
179	367	1672
180	368	1667
181	369	1660
182	370	1653
183	371	1647
184	374	1647
185	374	1641
186	375	1634
187	377	1628
188	382	1643
189	384	1637
190	385	1630
191	386	1625
192	387	1619
193	388	1612
194	388	1605
195	389	1598
196	390	1593
197	392	1588
198	393	1582
199	394	1576
200	395	1570
201	396	1565
202	397	1559
203	398	1553
204	398	1546
205	399	1540
206	400	1534
207	401	1528
208	406	1537
209	407	1531
210	408	1527
211	409	1522
212	410	1517
213	411	1511
214	412	1505
215	413	1499
216	414	1495
217	415	1490
218	416	1485
219	417	1480
220	419	1477
221	420	1473
222	421	1468
223	422	1462
224	422	1456
225	423	1451
226	424	1445
227	427	1446
228	428	1442
229	429	1437
230	430	1431
231	431	1427
232	432	1422
233	433	1417
234	433	1412
235	434	1407
236	435	1403
237	436	1398
238	438	1395
239	439	1391
240	440	1387
241	441	1382
242	442	1378
243	443	1373
244	444	1368
245	444	1363
246	445	1358
247	446	1353
248	447	1349
249	448	1344
250	451	1348
251	453	1345
252	454	1340
253	455	1337
254	456	1334
255	457	1330
256	458	1326
257	459	1321
258	461	1319
259	462	1315
260	463	1313
261	465	1309
262	466	1305
263	467	1301
264	467	1297
265	468	1293
266	469	1289
267	470	1285
268	471	1281
269	480	1297
270	481	1294
271	482	1290
272	484	1290
273	486	1289
274	488	1288
275	489	1284
276	490	1281
277	492	1279
278	493	1275
279	494	1271
280	495	1267
281	496	1263
282	498	1263
283	499	1259
284	500	1255
285	501	1252
286	502	1248
287	503	1244
288	504	1240
289	504	1236
290	505	1232
291	506	1228
292	507	1224
293	508	1220
294	509	1217
295	511	1217
296	512	1214
297	514	1211
298	515	1208
299	516	1204
300	517	1200
301	517	1196
302	518	1193
303	519	1189
304	523	1192
305	524	1189
306	525	1185
307	526	1182
308	527	1179
309	528	1176
310	529	1172
311	530	1169
312	531	1165
313	532	1162
314	533	1159
315	534	1156
316	535	1153
317	536	1150
318	538	1149
319	539	1146
320	540	1144
321	541	1140
322	542	1137
323	544	1135
324	545	1132
325	546	1129
326	547	1125
327	548	1122
328	549	1120
